Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/09/2012 13:40:10,10/12/2014 13:39:20,40.000
Conductivity,27/02/2008 10:21:02,10/12/2014 13:39:31,68.000
WQ_NIT_NIT,12/09/2012 13:40:15,05/01/2016 13:00:34,29.000
WQ_PHS_FRP,12/09/2012 13:41:05,05/01/2016 13:00:42,29.000
WQ_DIAG_TOT_TKN,27/02/2008 10:20:16,05/01/2016 13:01:15,37.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 10:20:17,05/01/2016 13:01:05,135.000
WQ_CAR_DIC,25/08/2009 00:01:20,10/12/2014 13:39:54,13.000
WQ_NIT_AMM,27/02/2008 10:20:53,05/01/2016 13:01:09,37.000
WQ_GEO_CL,12/09/2012 13:41:06,10/12/2014 00:00:40,20.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:11,05/01/2016 13:00:18,11.000
WQ_CAR_PH,27/02/2008 10:20:39,10/12/2014 13:39:05,53.000
WQ_DIAG_TOT_TP,27/02/2008 10:20:44,05/01/2016 13:00:26,37.000
WQ_SIL_RSI,12/09/2012 13:41:03,05/01/2016 13:01:24,29.000
TEMP,12/09/2012 13:40:28,10/12/2014 13:40:01,40.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,27/02/2008 10:20:17,05/01/2016 13:01:05,135.000
WQ_TRC_SS1,27/02/2008 10:20:17,05/01/2016 13:01:05,135.000
ON,27/02/2008 10:20:16,05/01/2016 10:20:16,37.000
OP,27/02/2008 00:00:00,05/01/2016 00:00:00,37.000
SAL,27/02/2008 10:21:02,10/12/2014 13:39:31,68.000
