Variable Name,Min Date,Max Date,Number of Samples
CONDUCTIVITY,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_DIAG_TOT_TKN,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_CAR_DIC,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_AL,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_DIAG_TOT_TAL,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_NIT_AMM,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_CA,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_CL,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_FEII,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_DIAG_TOT_TFE,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_MG,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_MN,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_DIAG_TOT_TN,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_CAR_PH,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_DIAG_TOT_TP,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_K,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_NA,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
WQ_GEO_SO4,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
SAL,02/06/2009 11:00:00,24/06/2009 11:30:00,2.000
